0.0025,0.0009,1,
0.0006,0.0013,2,
0.0012,0.0007,4,
0.0026,0.0014,8,
0.0051,0.0022,16,
0.0097,0.0040,32,
0.0220,0.0072,64,
0.0426,0.0142,128,
0.0818,0.0258,256,
0.1684,0.0500,512,
0.3346,0.1061,1024,
0.7109,0.4160,2048,
1.3482,1.6569,4096,
2.6103,0.7683,8192,
5.2597,1.6194,16384,
10.5261,4.4457,32768,
21.0179,6.9266,65536,
